suite_case_id,record_type,phase_degrees,phase_radians,branch_order,mask_index,outage_mask,source_controls_path,source_controls_sha256,retuned_controls_path,retuned_controls_sha256,source_cr3bp_terminal_error,initial_bicircular_terminal_error,retuned_bicircular_terminal_error,configured_threshold,passes_configured_threshold,strict_threshold,passes_strict_threshold,recovery_start,recovery_segments,optimizer_ran,optimizer_success,accepted_candidate,weight_source,weights,nfev,runtime_seconds,cost,optimality,fuel,control_max_norm,control_bound_violation,retuning_semantics
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,0,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_000_mask_000_controls.json,29ee001998ed326eda124d1a7cc3c36015bc7be21604e2daad3cd91e757d01d3,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_000_mask_000_controls.json,f91f6b11103d39ef300dd54ae5e3706487da4c0afa97c12dab0f8f3668de731b,0.00034866376885863743,5.40839182591575,5.4596046866776412e-06,0.17000000000000001,True,0.089999999999999997,True,1,13,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",24,21.702369100006763,2.3845826667833964e-10,0.027917185327401645,2.5647068109004305,0.9271675408258202,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,1,1,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_001_mask_001_controls.json,2ac3ea5cf5870454b3cced8a57a48fb0bff50f845ef2887ad3d356d74ff138c2,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_001_mask_001_controls.json,416c8c1a6159920ecaf004ec01eee88163fa28c9237a1edd4a8c8539a5ddb1f1,0.0021092769780679923,0.52702568876988598,1.804101341466598e-05,0.17000000000000001,True,0.089999999999999997,True,2,12,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",17,14.42088610000792,2.6038253202252619e-09,0.0088857835654760995,2.8044380642301134,1,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,2,2,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_002_mask_002_controls.json,af4c45bf516a4979040b09e98c25f4c5f5f400e3ff1de4e2d47c1b457521577e,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_002_mask_002_controls.json,03d9ddcdf7af52673da3c15359b9e1fe1a607be6808ecdf8e4b52632b75e5566,2.3973675906796862e-07,0.11372058429495847,5.3630615196840183e-06,0.17000000000000001,True,0.089999999999999997,True,3,11,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",19,16.524479200015776,2.3009943091132365e-10,6.1460475603931927e-05,2.8076220609491367,1,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,3,3,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_003_mask_003_controls.json,3edba56d8ede21d879506f25e33b9a6f9e7d0217069e63895c0e3dc475e654e0,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_003_mask_003_controls.json,fd7d012ea44faf6afe4f9739df54537081b2adf1dd896434bac1aa819e565fcc,0.0018062359343324901,1.1288838271149795,1.1143111102828656,0.17000000000000001,False,0.089999999999999997,False,4,10,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",2,2.9750173000211362,9.9335140039986634,84565.776341912468,2.7800684184917355,0.99832587119387939,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,4,4,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_004_mask_004_controls.json,9ebebca724e9d21f0fe3b1556fa59ebf191a0ea0cd129023fca9d9ae5e2c2c5d,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_004_mask_004_controls.json,2d0a90d290d949793db7b74049579e11f0470443b12f48f2324b1a26b044ef96,8.5136658070009593e-06,0.55559055325226092,1.9393200159650993e-06,0.17000000000000001,True,0.089999999999999997,True,5,9,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",31,25.363174400001299,3.008769699458298e-11,0.0002677335209225986,2.8315155320731367,0.99999999999999978,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,5,5,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_005_mask_005_controls.json,d8174ef523a3e0ad649e16446092fe1af22a1d948f1906a7226fa310005b43ff,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_005_mask_005_controls.json,d8307f7002a9ca7a31708c1e218673abcb4204f1140e85ea6bc730d3b53760c4,1.4634779182819704e-05,1.0838808195336822,2.4367974769310153e-05,0.17000000000000001,True,0.089999999999999997,True,6,8,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.01, ""smooth"": 0.01, ""terminal"": 4.0}",94,90.736957500019344,4.2417062050311724e-05,0.0022796780748489433,1.8996945481498804,0.99832587119387939,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,6,6,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_006_mask_006_controls.json,9a872cbc22dcc277fc2a22486591ca7a3588cbf75f0ee3f39f349c9216eb5f1d,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_006_mask_006_controls.json,bc395eaa30952093896bc79b0ae23fae76ec577bfb1d27b39ddb29c3df4a7d2c,8.0374319154373121e-07,5.085872236860129,3.0549886297174336,0.17000000000000001,False,0.089999999999999997,False,7,7,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",3,2.1500154999957886,74.663644221622405,776228.67196452711,2.3974024459929115,0.99832587119387939,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,7,7,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_007_mask_007_controls.json,99a20f46082f43e92111505de31e75c38792cf5e33403923ba4fb237a4981512,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_007_mask_007_controls.json,b6c85dfde93e99e54525155b9c053f3e9f9c51a9c6d4209bcadc4834f05e8659,1.5539483518746534e-06,11.511170392889984,4.3478994756388456,0.17000000000000001,False,0.089999999999999997,False,8,6,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",18,11.079950100014685,151.23383880208436,8.2520209286173287,3.3061350113997654,1,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,8,8,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_008_mask_008_controls.json,e748073e4e8afe834191bbec8946c37db11d5eda92ca7f8858a4ae651ee6783c,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_008_mask_008_controls.json,4e858d4ae921c6ce5c2d2607b69e3386e3257bfa3d7c281e0b54f988fa412de9,3.7090883617962675e-06,2.8131208418733231,7.9891275887182492e-06,0.17000000000000001,True,0.089999999999999997,True,9,5,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",28,13.869472799997311,5.1060927703055246e-10,0.00027839415986267703,2.8789262379184075,1,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,9,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_009_mask_009_controls.json,bd698e9a952d2aa99661f45650d1b6a41546c4619b5eebcdbe859d9f1a75d89d,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_009_mask_009_controls.json,1937042356edfbd33a6b623b2c186bb35b30f68b8adeff201c54a002f9dc19f8,1.3421492615961595e-05,2.1644865858224254,0.24722334449589398,0.17000000000000001,False,0.089999999999999997,False,10,4,True,False,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.01, ""smooth"": 0.01, ""terminal"": 4.0}",220,109.25123980001081,0.48902022697809444,874.61273945205915,2.4283773266462574,0.9994303177148075,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,10,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_010_mask_010_controls.json,9df5d8c8bad90c3e594a8980ad3e0750c6f4dd43ba9897db38fa972fb5f02460,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_010_mask_010_controls.json,efbf59bb6407add306044e7d37adc7783cd4e0fb90175676cbdc20d51237cb36,3.1930104216096969e-05,0.45301403091706544,0.0006033462472355435,0.17000000000000001,True,0.089999999999999997,True,11,3,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.01, ""smooth"": 0.01, ""terminal"": 4.0}",30,10.832020500005456,0.00023361031155570618,0.00052561513883321608,2.8018513571861954,0.99999999999999978,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,11,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_011_mask_011_controls.json,cc3e8780d7ecbb4eaf0e5618cb1cc18a410da08d2ad94ad4d4eaf3598596217d,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_011_mask_011_controls.json,471940638ae090ca386e3ad3829461b9da744aacf4306ae4bd3148f633595288,4.899535593841126e-05,0.31894581796008786,0.085585246939119453,0.17000000000000001,True,0.089999999999999997,True,12,2,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",11,3.5228460000071209,0.058598675949040453,0.0018754582342334711,2.5727816024218133,0.99999999999999989,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
tail_coast_all_one_two_segment_t5_portfolio,branch,0,0,12,12,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",data/results/hard_catalog_tail_coast_branch_control_replay/controls/tail_coast_all_one_two_segment_t5_portfolio_branch_012_mask_012_controls.json,1c169ce2b326a03d694aecd3f4cdb35f08f90f86bd2eed774a9293978ef25465,data/results/bicircular_tail_coast_recovery/controls/tail_coast_all_one_two_segment_t5_portfolio_phase_0_branch_012_mask_012_controls.json,48c21deb2972ed6ff6d6e0b8ed081ba1dbc1105276ee646babc1300bc6cb47e4,0.022709449204233009,0.31614828867461853,0.16481210143524136,0.17000000000000001,True,0.089999999999999997,False,13,1,True,True,optimizer,accepted_cr3bp_branch_weights,"{""continuity"": 0.0, ""control"": 0.0, ""smooth"": 0.0, ""terminal"": 4.0}",10,1.9195646999869496,0.21730423023600232,1.5218440992677568e-08,2.1824205445021039,0.9994303177148075,0,branch recovery controls retuned under simple bicircular solar-tidal dynamics from persisted CR3BP branch-control seeds
