row_id,artifact_family,representative_case_or_statistic,target_family,backend_initializer_role,mask_scope,phase_time,transfer_time,amax,segments,nominal_error,selected_worst_error,all_mask_worst_error,configured_pass,stringent_0p065_0p10_all_mask_pass,near_tight_0p05_0p10_all_mask_pass,tight_0p05_0p09_all_mask_pass,pass_status_note,practitioner_interpretation,source_artifact,source_row_id
phase_shift_tight_threshold_counts,30-seed threshold sensitivity,"tight (0.050,0.090) pass counts","catalog halo phase-shift, duty-cycle-prior N=12",sampled binary initializers versus all-windows continuous,30 deterministic seeds; selected one-segment recovery masks,0.3,0.5,0.2,12,,,,see source threshold table,source counts vary by method,not tabulated in source,sampled methods 0/30; all-windows 30/30,random=0/30; cross_entropy=0/30; genetic=0/30; true_sa=0/30; surrogate_qubo_sa=0/30; qaoa_statevector=0/30; all_windows_continuous=30/30,"Tight screening exposes margin limits of sampled high-duty schedules; the positive result is the benchmark diagnostic, not sampler superiority.",data/results/phase_shift_cardinality_30seed/threshold_sensitivity.csv,threshold_id=continuous_dominance_0p05_0p09
continuation_all_single_p04,continuation-extension multiple shooting,all_single_p04_warm_from_p03,catalog halo phase-shift,all one-segment continuous continuation from p=0.3,8/8 configured one-segment masks selected and evaluated,0.4,0.5,0.3,8,0.0530980832118395,0.0139134347944667,0.0139134347944667,True,True,False,False,selected masks equal all configured masks for this row,"All-mask continuation has headroom at p=0.4 under 0.065/0.10 screening, but the nominal error is above 0.05.",data/results/continuation_extension_suite/continuation_margin_suite.csv,case_id=all_single_p04_warm_from_p03
continuation_two_segment_n8_p03,continuation-extension multiple shooting,two_segment_n8_p03_cold,catalog halo phase-shift,cold all one/two-mask continuous continuation,15/15 configured one- and two-segment masks selected and evaluated,0.3,0.5,0.3,8,0.0612012101866208,0.0434908055815499,0.0434908055815499,True,True,False,False,selected masks equal all configured masks for this row,"A broader one/two-mask phase-shift row passes 0.065/0.10 all-mask diagnostics, but not the 0.05 nominal headroom check.",data/results/continuation_extension_suite/continuation_margin_suite.csv,case_id=two_segment_n8_p03_cold
direct_collocation_selected_p04,direct-collocation baseline,selected-branch p=0.4,catalog halo phase-shift,compact trapezoidal selected-branch collocation,1 selected outage branch; 12 one-segment all-mask diagnostics,0.4,0.5,0.2,12,0.03567443236113212,0.019117085167272115,0.06024618745953626,True,True,True,True,"tight status uses the all-mask diagnostic, not only the optimized selected branch","Compact collocation can be tight on this selected branch, but unselected masks remain diagnostics and should be reported.",data/results/direct_collocation_baseline/direct_collocation_baseline.csv,phase_time=0.4
ihs_tighter_thrust_p04,independent-midpoint Hermite-Simpson,ihs_phase_p04_amax02_warm_from_p03,catalog halo phase-shift,selected-branch independent-midpoint collocation with tighter thrust,3 selected outage branches; 8 one-segment all-mask diagnostics,0.4,0.5,0.2,8,0.0197147568098046,0.0187821107883081,0.0531572965780589,True,True,True,True,"tight status uses the all-mask diagnostic, not only the optimized selected branches",Independent midpoint controls meet tight all-mask diagnostics on this phase-shift row even at amax=0.2.,data/results/independent_hs_continuation_baseline/independent_hs_continuation_baseline.csv,case_id=ihs_phase_p04_amax02_warm_from_p03
ihs_all_configured_headroom_p04_amax02,independent-midpoint Hermite-Simpson all-configured headroom,ihs_all_single_p04_amax02_warm_from_p03,catalog halo phase-shift,all one-segment independent-midpoint collocation with tighter thrust,8/8 configured one-segment masks selected and evaluated,0.4,0.5,0.2,8,0.011115187774142957,0.07741645121655767,0.07741645121655767,True,True,True,True,selected masks equal all configured one-segment masks for this row,"The independent-midpoint HS headroom package upgrades the earlier selected-branch row to all-configured one-segment evidence at p=0.4 and amax=0.2, while retaining the max-nfev optimizer caveat.",data/results/independent_hs_all_configured_headroom/independent_hs_all_configured_headroom.csv,case_id=ihs_all_single_p04_amax02_warm_from_p03
ihs_branch_control_replay_p04_amax02,independent-HS branch-control replay,"original and polish p=0.4, amax=0.2 branch sidecars",catalog halo phase-shift,deterministic replay of persisted endpoint-plus-midpoint controls,16 branch replay rows; 8/8 one-segment masks for original and polish rows,0.4,0.5,0.2,8,,0.07741645121655767,0.07792080291839382,True,replay delta only,replay delta only,replay delta only,max replay delta=0.0; original branches=8; polish branches=8,Persisted independent-HS branch controls replay exactly under normalized CR3BP; this strengthens recovery-side reproducibility without adding high-fidelity or production-solver evidence.,data/results/independent_hs_branch_control_replay/independent_hs_branch_control_replay.csv,independent-HS branch-control replay metadata summary
ihs_bicircular_phase_stress_polish_p04_amax02,independent-HS simple bicircular phase-sweep stress,ihs_all_single_p04_amax02_polish_from_p04,catalog halo phase-shift,persisted endpoint-plus-midpoint controls replayed with simple circular solar tide,"8/8 configured one-segment masks over Sun phases 0.0, 45.0, 90.0, 135.0, 180.0, 225.0, 270.0, 315.0",0.4,0.5,0.2,8,0.022138676654057693,0.08557051343145317,0.08557051343145317,True,True,True,True,simple bicircular stress replay: nominal 8/8; branch 64/64; no SPICE/high-fidelity or production parity claim,"The converged independent-HS all-configured row has a positive deterministic beyond-CR3BP stress replay under the simple circular solar-tidal model; the result is useful benchmark-resource evidence, not flight validation.",data/results/independent_hs_bicircular_phase_stress/independent_hs_bicircular_phase_stress.csv,polish_case_summary in independent-HS bicircular phase-stress metadata
ihs_horizons_solar_tidal_replay_polish_p04_amax02,independent-HS cached-Horizons-derived solar-tidal replay,ihs_all_single_p04_amax02_polish_from_p04,catalog halo phase-shift,persisted endpoint-plus-midpoint controls replayed with cached JPL Horizons geometry,8/8 configured one-segment masks at representative 2026-Jan-01 epoch,0.4,0.5,0.2,8,0.018363195236986728,0.07422350563850917,0.07422350563850917,True,True,True,True,cached-Horizons stress replay: branch 8/8; CR3BP replay delta=0.0; Sun LU 382.6857920288508--382.693044178952,"This is stronger than the simple bicircular phase sweep because the Sun geometry comes from cached JPL Horizons vectors, but it remains a simplified stress replay, not SPICE/high-fidelity/flight validation or production solver parity.",data/results/independent_hs_horizons_solar_tidal_replay/independent_hs_horizons_solar_tidal_replay.csv,polish_case_summary in independent-HS cached-Horizons replay metadata
tail_coast_hard_catalog_all_one_two,hard-catalog tail-coast recovery,tail_coast_all_one_two_segment_t5_portfolio,catalog DRO phase hard case,locked-nominal fixed-final-time tail-coast branch portfolio,27/27 configured one- and two-segment masks selected and evaluated,,4.0,1.0,14,0.02299233817855882,0.0936063931709301,0.0936063931709301,True,True,True,False,passes configured and 0.05/0.10; misses 0.05/0.09 on selected/all worst error,The hard-catalog pass is real but scoped to the tail-coast backend; it passes 0.05/0.10 and narrowly misses 0.05/0.09 because the selected/all worst error is 0.0936063931709301.,data/results/hard_catalog_tail_coast_recovery/tail_coast_recovery.csv,suite_case_id=tail_coast_all_one_two_segment_t5_portfolio
ihs_hard_catalog_selected_failure,independent-midpoint Hermite-Simpson,ihs_catalog_dro_tf4_amax1_selected1,catalog DRO phase hard case,bounded selected-outage independent-midpoint collocation negative diagnostic,1 selected outage branch; 15 one/two-mask all-mask diagnostics,0.0,4.0,1.0,8,4.264391829064117,11.084255309095791,11.084255309095791,False,False,False,False,negative control for hard-catalog backend generality,The hard-catalog result is not a generic continuous-backend pass; this independent-HS selected-outage diagnostic fails badly.,data/results/independent_hs_continuation_baseline/independent_hs_continuation_baseline.csv,case_id=ihs_catalog_dro_tf4_amax1_selected1
