seed,benchmark_label,target_mode,method,comparison_group,diagnostic_notes,schedule,refined_schedule,objective,nominal_error,worst_error,robust_degradation,active_fraction,smoothness,solver_true_evaluations,shared_qubo_training_evaluations,total_true_evaluations_including_training,true_evaluations,runtime_seconds,refinement_mode,refinement_success,refined_nominal_error,refined_worst_error,refined_selected_worst_error,refined_all_mask_worst_error,refinement_nfev,refinement_runtime_seconds,refined_nominal_fuel,refined_recovery_fuel_mean,refined_recovery_fuel_max,best_initial_guess,selected_outage_indices,selected_outage_errors,all_outage_errors,recovery_indices,refined_controls,refined_recovery_controls
11,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,random,method_comparison,,00000101,00000101,0.6497100390100663,0.3021990425368675,0.34041258051829903,0.03821353798143151,0.25,0.42857142857142855,52,0,52,52,0.2867508999988786,branch_recovery,False,0.3023348158353407,0.34047602432434887,0.34047602432434887,0.34047602432434887,10,0.4197736000023724,0.025,0.0125,0.0125,feedback,[5],[0.34047602432434887],"[0.3023348158353407, 0.3023348158353407, 0.3023348158353407, 0.3023348158353407, 0.3023348158353407, 0.34047602432434887, 0.3023348158353407, 0.3375318496307863]",[[7]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.0, 0.0, 0.0], [0.04822306768065838, -0.05033270357661978, -0.18745974152904077]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.0, 0.0, 0.0], [0.04822306768065838, -0.05033270357661978, -0.18745974152904077]]]"
11,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,cross_entropy,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,56,0,56,56,0.32237549999990733,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.519138199997542,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
11,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,genetic,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,52,0,52,52,0.412019399998826,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.5195225999996183,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
11,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,true_sa,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,52,0,52,52,0.5094224999993457,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.511714899999788,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
11,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,surrogate_qubo_sa,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,20,32,52,52,0.20430539999870234,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.4916029999985767,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
11,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,qaoa_statevector,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,20,32,52,52,0.19041479999941657,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.3847639000014169,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
11,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,all_windows_continuous,method_comparison,,11111111,11111111,0.9021344041111622,0.4119880771894354,0.4548141209827974,0.04282604379336197,1.0,0.0,30,0,30,30,13.36945509999714,branch_recovery,True,0.0418275527071866,0.07496831376244088,0.07496831376244088,0.08868926208761733,30,13.36945509999714,0.1,0.08750000000000001,0.08750000000000001,feedback,[4],[0.07496831376244088],"[0.08868926208761733, 0.08430499536122757, 0.08058143621544105, 0.07756754880639806, 0.07496831376244088, 0.07289565804245889, 0.07157870061169429, 0.0708931667201999]","[[5, 6, 7]]","[[0.10645412521093238, -0.02730740764003927, -0.16709824868488557], [0.1015677586394049, -0.03819495464560291, -0.16800338045583468], [0.09759040373263306, -0.05002849315909842, -0.1672520940721871], [0.09123360837933725, -0.05825150490223858, -0.16817607106455484], [0.05723967088882256, -0.037264107717021655, -0.18797607920316214], [0.04329781546781484, -0.03606931380918383, -0.19189659657495148], [0.03370381035928162, -0.040242290486811286, -0.19298862977813142], [0.025525474896887466, -0.04530253250435699, -0.19312206160866252]]","[[[0.10645412521093238, -0.02730740764003927, -0.16709824868488557], [0.1015677586394049, -0.03819495464560291, -0.16800338045583468], [0.09759040373263306, -0.05002849315909842, -0.1672520940721871], [0.09123360837933725, -0.05825150490223858, -0.16817607106455484], [0.0, -0.0, -0.0], [0.04387717260594013, -0.035385932145069396, -0.19189223415848045], [0.037331009542371264, -0.03895223260569546, -0.19258535588558956], [0.030804624744718442, -0.04296678584976816, -0.19288579628390798]]]"
23,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,random,method_comparison,,00010111,00010111,0.6844542963610224,0.31006097503264024,0.34841714318105504,0.038356168148414804,0.5,0.42857142857142855,52,0,52,52,0.47493480000048294,branch_recovery,False,0.22092528227174463,0.2591463314324592,0.2591463314324592,0.2649770821286666,17,3.5867193000012776,0.05,0.037500000000000006,0.037500000000000006,feedback,[5],[0.2591463314324592],"[0.22092528227174463, 0.22092528227174463, 0.22092528227174463, 0.2649770821286666, 0.22092528227174463, 0.2591463314324592, 0.2573332017379655, 0.25633454808510253]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.07671222819553362, -0.04260035262050262, -0.17972324279815682], [0.0, 0.0, 0.0], [0.06297236556572441, -0.05994771070150426, -0.18011316763830876], [0.05394289559385827, -0.06823181631284575, -0.18009603898364948], [0.04445146072217416, -0.0749932802003175, -0.18000020990116006]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.07671222819553361, -0.042600352620502616, -0.1797232427981568], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05398479534760652, -0.0682262810674984, -0.1800855808857993], [0.04496773637176712, -0.07445175429458528, -0.18009674891029528]]]"
23,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,cross_entropy,method_comparison,,00001111,00001111,0.6298982980018856,0.2868800114074909,0.3250628622530207,0.0381828508455298,0.5,0.14285714285714285,56,0,56,56,0.5212135000001581,branch_recovery,False,0.224158750506407,0.2624541395819448,0.2624541395819448,0.2649787800950859,20,4.3239716999996745,0.05,0.037500000000000006,0.037500000000000006,feedback,[5],[0.2624541395819448],"[0.224158750506407, 0.224158750506407, 0.224158750506407, 0.224158750506407, 0.2649787800950859, 0.2624541395819448, 0.2605862868571541, 0.25956980867385]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0650723159752433, -0.044619809593908794, -0.18377885157281135], [0.06326147332078517, -0.06022641423218804, -0.17991877340071127], [0.054434767826861775, -0.06924696356392977, -0.17955977859423708], [0.04479222314232828, -0.07651770086460506, -0.17927269228848738]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0650723159752433, -0.044619809593908794, -0.18377885157281135], [0.0, -0.0, -0.0], [0.059720938805063045, -0.0718303678877969, -0.17684402086965134], [0.04850416618353556, -0.07543673857965551, -0.17876421435875997]]]"
23,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,genetic,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,52,0,52,52,0.4834768000000622,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.510855199998332,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
23,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,true_sa,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,52,0,52,52,0.5037214999974822,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.5029899999972258,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
23,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,surrogate_qubo_sa,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,20,32,52,52,0.1893430999989505,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.5083281000006536,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
23,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,qaoa_statevector,method_comparison,,00001111,00001111,0.6298982980018856,0.2868800114074909,0.3250628622530207,0.0381828508455298,0.5,0.14285714285714285,20,32,52,52,0.1899224000007962,branch_recovery,False,0.224158750506407,0.2624541395819448,0.2624541395819448,0.2649787800950859,20,4.076854300001287,0.05,0.037500000000000006,0.037500000000000006,feedback,[5],[0.2624541395819448],"[0.224158750506407, 0.224158750506407, 0.224158750506407, 0.224158750506407, 0.2649787800950859, 0.2624541395819448, 0.2605862868571541, 0.25956980867385]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0650723159752433, -0.044619809593908794, -0.18377885157281135], [0.06326147332078517, -0.06022641423218804, -0.17991877340071127], [0.054434767826861775, -0.06924696356392977, -0.17955977859423708], [0.04479222314232828, -0.07651770086460506, -0.17927269228848738]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0650723159752433, -0.044619809593908794, -0.18377885157281135], [0.0, -0.0, -0.0], [0.059720938805063045, -0.0718303678877969, -0.17684402086965134], [0.04850416618353556, -0.07543673857965551, -0.17876421435875997]]]"
23,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,all_windows_continuous,method_comparison,,11111111,11111111,0.9021344041111622,0.4119880771894354,0.4548141209827974,0.04282604379336197,1.0,0.0,30,0,30,30,15.65566200000103,branch_recovery,True,0.0418275527071866,0.07496831376244088,0.07496831376244088,0.08868926208761733,30,15.65566200000103,0.1,0.08750000000000001,0.08750000000000001,feedback,[4],[0.07496831376244088],"[0.08868926208761733, 0.08430499536122757, 0.08058143621544105, 0.07756754880639806, 0.07496831376244088, 0.07289565804245889, 0.07157870061169429, 0.0708931667201999]","[[5, 6, 7]]","[[0.10645412521093238, -0.02730740764003927, -0.16709824868488557], [0.1015677586394049, -0.03819495464560291, -0.16800338045583468], [0.09759040373263306, -0.05002849315909842, -0.1672520940721871], [0.09123360837933725, -0.05825150490223858, -0.16817607106455484], [0.05723967088882256, -0.037264107717021655, -0.18797607920316214], [0.04329781546781484, -0.03606931380918383, -0.19189659657495148], [0.03370381035928162, -0.040242290486811286, -0.19298862977813142], [0.025525474896887466, -0.04530253250435699, -0.19312206160866252]]","[[[0.10645412521093238, -0.02730740764003927, -0.16709824868488557], [0.1015677586394049, -0.03819495464560291, -0.16800338045583468], [0.09759040373263306, -0.05002849315909842, -0.1672520940721871], [0.09123360837933725, -0.05825150490223858, -0.16817607106455484], [0.0, -0.0, -0.0], [0.04387717260594013, -0.035385932145069396, -0.19189223415848045], [0.037331009542371264, -0.03895223260569546, -0.19258535588558956], [0.030804624744718442, -0.04296678584976816, -0.19288579628390798]]]"
37,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,random,method_comparison,,00000001,00000001,0.6950237338114379,0.34041258051829903,0.3758027049027983,0.03539012438449929,0.125,0.14285714285714285,52,0,52,52,0.5499017000001913,branch_recovery,False,0.3404802523352892,0.3404802523352892,0.3404802523352892,0.3758027049027983,11,0.36157169999933103,0.0125,0.0125,0.0125,feedback,[6],[0.3404802523352892],"[0.3404802523352892, 0.3404802523352892, 0.3404802523352892, 0.3404802523352892, 0.3404802523352892, 0.3404802523352892, 0.3404802523352892, 0.3758027049027983]",[[7]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.04772605779497475, -0.05016787678345369, -0.18763104099906003]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.04772605779497475, -0.05016787678345369, -0.18763104099906003]]]"
37,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,cross_entropy,method_comparison,,00000011,00000011,0.639125694971995,0.304075103404646,0.34041258051829903,0.03633747711365304,0.25,0.14285714285714285,56,0,56,56,0.5751104000009946,branch_recovery,False,0.3042167386785086,0.3404761507695378,0.3404761507695378,0.3404761507695378,10,0.3801377000017965,0.025,0.0125,0.0125,feedback,[6],[0.3404761507695378],"[0.3042167386785086, 0.3042167386785086, 0.3042167386785086, 0.3042167386785086, 0.3042167386785086, 0.3042167386785086, 0.3404761507695378, 0.3394113327605467]",[[7]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05051437166403527, -0.04354564994612973, -0.1885525778825547], [0.047881351375291786, -0.050325252159193784, -0.18754931400991423]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.047881351375291786, -0.050325252159193784, -0.18754931400991423]]]"
37,q1_catalog_halo_phase_shift,catalog_halo_phase_shift,genetic,method_comparison,,00000111,00000111,0.5811397598732632,0.266045176427718,0.304075103404646,0.038029926976927975,0.375,0.14285714285714285,52,0,52,52,0.5090439999985392,branch_recovery,False,0.26627214643775043,0.30420269151650076,0.30420269151650076,0.30420269151650076,10,0.45887149999907706,0.037500000000000006,0.025,0.025,feedback,[5],[0.30420269151650076],"[0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.26627214643775043, 0.30420269151650076, 0.3023296884705589, 0.3012932329286055]","[[6, 7]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.05286587230465637, -0.03716752580966738, -0.1892716951122261], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]","[[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, -0.0, -0.0], [0.05080852652561411, -0.04377162039635332, -0.18842117418213253], [0.04842568071073534, -0.050510185411391906, -0.18735974652365628]]]"
