method,coast_window,schedule,probability,refined_selected_worst_error,refined_nominal_error,is_best_one_coast,is_pareto_frontier
structured_xy_qaoa_p1,0,011111111111,0.008156003316559864,0.0940745290922824,0.0690121126015381,False,False
structured_xy_qaoa_p1,1,101111111111,0.00019422354112284707,0.0925646306997911,0.0674629379621564,False,False
structured_xy_qaoa_p1,2,110111111111,6.522276578018833e-05,0.0922072907281229,0.0669946905744458,False,False
structured_xy_qaoa_p1,3,111011111111,0.025418302210059317,0.0891852628715516,0.0642622153311685,False,False
structured_xy_qaoa_p1,4,111101111111,0.04415401762298098,0.0881467206672208,0.0632678740837427,False,False
structured_xy_qaoa_p1,5,111110111111,0.05508973992866184,0.0876302659683052,0.062754548122028,False,False
structured_xy_qaoa_p1,6,111111011111,0.1623156922697142,0.0836849565091918,0.0600522997884915,False,False
structured_xy_qaoa_p1,7,111111101111,0.11726288574279194,0.0852143098547604,0.0605770719694452,False,False
structured_xy_qaoa_p1,8,111111110111,0.13324853600948602,0.0846623615241569,0.0600776590648171,False,False
structured_xy_qaoa_p1,9,111111111011,0.1281836541874048,0.0848356908620562,0.0603003605462355,False,True
structured_xy_qaoa_p1,10,111111111101,0.150878235892781,0.0840670141736464,0.0595664825472062,False,True
structured_xy_qaoa_p1,11,111111111110,0.17503348651265713,0.0832614239111052,0.0587801873504588,True,True
structured_xy_qaoa_p2,0,011111111111,0.0028322619706421448,0.0940745290922824,0.0690121126015381,False,False
structured_xy_qaoa_p2,1,101111111111,0.0015971762734637643,0.0925646306997911,0.0674629379621564,False,False
structured_xy_qaoa_p2,2,110111111111,0.002909508178598002,0.0922072907281229,0.0669946905744458,False,False
structured_xy_qaoa_p2,3,111011111111,0.0011144335146796927,0.0891852628715516,0.0642622153311685,False,False
structured_xy_qaoa_p2,4,111101111111,0.0009641553092609571,0.0881467206672208,0.0632678740837427,False,False
structured_xy_qaoa_p2,5,111110111111,0.004900802931941861,0.0876302659683052,0.062754548122028,False,False
structured_xy_qaoa_p2,6,111111011111,0.21318735146819748,0.0836849565091918,0.0600522997884915,False,False
structured_xy_qaoa_p2,7,111111101111,0.09206313588903214,0.0852143098547604,0.0605770719694452,False,False
structured_xy_qaoa_p2,8,111111110111,0.1307315245065883,0.0846623615241569,0.0600776590648171,False,False
structured_xy_qaoa_p2,9,111111111011,0.11788138151510501,0.0848356908620562,0.0603003605462355,False,True
structured_xy_qaoa_p2,10,111111111101,0.17919911059850244,0.0840670141736464,0.0595664825472062,False,True
structured_xy_qaoa_p2,11,111111111110,0.25261915784398836,0.0832614239111052,0.0587801873504588,True,True
structured_xy_qaoa_p3,0,011111111111,0.00035111020099074577,0.0940745290922824,0.0690121126015381,False,False
structured_xy_qaoa_p3,1,101111111111,0.0006412462740936344,0.0925646306997911,0.0674629379621564,False,False
structured_xy_qaoa_p3,2,110111111111,0.0005343956786682636,0.0922072907281229,0.0669946905744458,False,False
structured_xy_qaoa_p3,3,111011111111,0.002690020953496422,0.0891852628715516,0.0642622153311685,False,False
structured_xy_qaoa_p3,4,111101111111,0.0015729832558760892,0.0881467206672208,0.0632678740837427,False,False
structured_xy_qaoa_p3,5,111110111111,0.0003774704668491125,0.0876302659683052,0.062754548122028,False,False
structured_xy_qaoa_p3,6,111111011111,0.2391096219969865,0.0836849565091918,0.0600522997884915,False,False
structured_xy_qaoa_p3,7,111111101111,0.06085212040892689,0.0852143098547604,0.0605770719694452,False,False
structured_xy_qaoa_p3,8,111111110111,0.11028960276800542,0.0846623615241569,0.0600776590648171,False,False
structured_xy_qaoa_p3,9,111111111011,0.09286879902689711,0.0848356908620562,0.0603003605462355,False,True
structured_xy_qaoa_p3,10,111111111101,0.18302089728837392,0.0840670141736464,0.0595664825472062,False,True
structured_xy_qaoa_p3,11,111111111110,0.3076917316808359,0.0832614239111052,0.0587801873504588,True,True
structured_xy_qaoa_p4,0,011111111111,4.916918175353025e-05,0.0940745290922824,0.0690121126015381,False,False
structured_xy_qaoa_p4,1,101111111111,0.0005688398816712363,0.0925646306997911,0.0674629379621564,False,False
structured_xy_qaoa_p4,2,110111111111,1.612204088330827e-05,0.0922072907281229,0.0669946905744458,False,False
structured_xy_qaoa_p4,3,111011111111,0.006408847526634025,0.0891852628715516,0.0642622153311685,False,False
structured_xy_qaoa_p4,4,111101111111,0.0016962063155533129,0.0881467206672208,0.0632678740837427,False,False
structured_xy_qaoa_p4,5,111110111111,0.009658343306743169,0.0876302659683052,0.062754548122028,False,False
structured_xy_qaoa_p4,6,111111011111,0.2865398530164288,0.0836849565091918,0.0600522997884915,False,False
structured_xy_qaoa_p4,7,111111101111,0.00545084981835893,0.0852143098547604,0.0605770719694452,False,False
structured_xy_qaoa_p4,8,111111110111,0.0465120935187546,0.0846623615241569,0.0600776590648171,False,False
structured_xy_qaoa_p4,9,111111111011,0.02736254661596958,0.0848356908620562,0.0603003605462355,False,True
structured_xy_qaoa_p4,10,111111111101,0.16589645717511853,0.0840670141736464,0.0595664825472062,False,True
structured_xy_qaoa_p4,11,111111111110,0.449840671602131,0.0832614239111052,0.0587801873504588,True,True
warm_start_xy_qaoa_p1,0,011111111111,0.0020161253500716203,0.0940745290922824,0.0690121126015381,False,False
warm_start_xy_qaoa_p1,1,101111111111,0.0002168711120248964,0.0925646306997911,0.0674629379621564,False,False
warm_start_xy_qaoa_p1,2,110111111111,5.495753547901739e-05,0.0922072907281229,0.0669946905744458,False,False
warm_start_xy_qaoa_p1,3,111011111111,0.00437169412177618,0.0891852628715516,0.0642622153311685,False,False
warm_start_xy_qaoa_p1,4,111101111111,0.009176528797441855,0.0881467206672208,0.0632678740837427,False,False
warm_start_xy_qaoa_p1,5,111110111111,0.012546747995920704,0.0876302659683052,0.062754548122028,False,False
warm_start_xy_qaoa_p1,6,111111011111,0.1771489026074629,0.0836849565091918,0.0600522997884915,False,False
warm_start_xy_qaoa_p1,7,111111101111,0.04736954912528142,0.0852143098547604,0.0605770719694452,False,False
warm_start_xy_qaoa_p1,8,111111110111,0.0675547541619845,0.0846623615241569,0.0600776590648171,False,False
warm_start_xy_qaoa_p1,9,111111111011,0.06001834636026109,0.0848356908620562,0.0603003605462355,False,True
warm_start_xy_qaoa_p1,10,111111111101,0.11074655215765179,0.0840670141736464,0.0595664825472062,False,True
warm_start_xy_qaoa_p1,11,111111111110,0.508778970674644,0.0832614239111052,0.0587801873504588,True,True
warm_start_xy_qaoa_p2,0,011111111111,0.0010449684409256236,0.0940745290922824,0.0690121126015381,False,False
warm_start_xy_qaoa_p2,1,101111111111,0.00044670505691987234,0.0925646306997911,0.0674629379621564,False,False
warm_start_xy_qaoa_p2,2,110111111111,0.0009063043337738021,0.0922072907281229,0.0669946905744458,False,False
warm_start_xy_qaoa_p2,3,111011111111,0.0010100867901520546,0.0891852628715516,0.0642622153311685,False,False
warm_start_xy_qaoa_p2,4,111101111111,5.769308215895589e-05,0.0881467206672208,0.0632678740837427,False,False
warm_start_xy_qaoa_p2,5,111110111111,0.00068782685455801,0.0876302659683052,0.062754548122028,False,False
warm_start_xy_qaoa_p2,6,111111011111,0.19036743999883676,0.0836849565091918,0.0600522997884915,False,False
warm_start_xy_qaoa_p2,7,111111101111,0.036593587921178755,0.0852143098547604,0.0605770719694452,False,False
warm_start_xy_qaoa_p2,8,111111110111,0.06251690779222781,0.0846623615241569,0.0600776590648171,False,False
warm_start_xy_qaoa_p2,9,111111111011,0.05289343529207797,0.0848356908620562,0.0603003605462355,False,True
warm_start_xy_qaoa_p2,10,111111111101,0.11521319037647347,0.0840670141736464,0.0595664825472062,False,True
warm_start_xy_qaoa_p2,11,111111111110,0.538261854060717,0.0832614239111052,0.0587801873504588,True,True
warm_start_xy_qaoa_p3,0,011111111111,0.00028906652624340474,0.0940745290922824,0.0690121126015381,False,False
warm_start_xy_qaoa_p3,1,101111111111,0.00043221591320854373,0.0925646306997911,0.0674629379621564,False,False
warm_start_xy_qaoa_p3,2,110111111111,0.0004397753425292008,0.0922072907281229,0.0669946905744458,False,False
warm_start_xy_qaoa_p3,3,111011111111,0.0015102670625848987,0.0891852628715516,0.0642622153311685,False,False
warm_start_xy_qaoa_p3,4,111101111111,0.0014024567756056633,0.0881467206672208,0.0632678740837427,False,False
warm_start_xy_qaoa_p3,5,111110111111,0.0006654700685387951,0.0876302659683052,0.062754548122028,False,False
warm_start_xy_qaoa_p3,6,111111011111,0.19865638463092536,0.0836849565091918,0.0600522997884915,False,False
warm_start_xy_qaoa_p3,7,111111101111,0.025561191624853288,0.0852143098547604,0.0605770719694452,False,False
warm_start_xy_qaoa_p3,8,111111110111,0.054692883534276676,0.0846623615241569,0.0600776590648171,False,False
warm_start_xy_qaoa_p3,9,111111111011,0.04362258252722284,0.0848356908620562,0.0603003605462355,False,True
warm_start_xy_qaoa_p3,10,111111111101,0.11560750754643048,0.0840670141736464,0.0595664825472062,False,True
warm_start_xy_qaoa_p3,11,111111111110,0.5571201984475808,0.0832614239111052,0.0587801873504588,True,True
warm_start_xy_qaoa_p4,0,011111111111,4.4009656655712165e-05,0.0940745290922824,0.0690121126015381,False,False
warm_start_xy_qaoa_p4,1,101111111111,0.00033819055029633203,0.0925646306997911,0.0674629379621564,False,False
warm_start_xy_qaoa_p4,2,110111111111,6.429257780178228e-06,0.0922072907281229,0.0669946905744458,False,False
warm_start_xy_qaoa_p4,3,111011111111,0.004712878202170311,0.0891852628715516,0.0642622153311685,False,False
warm_start_xy_qaoa_p4,4,111101111111,0.0009993587149005963,0.0881467206672208,0.0632678740837427,False,False
warm_start_xy_qaoa_p4,5,111110111111,0.006779841151062537,0.0876302659683052,0.062754548122028,False,False
warm_start_xy_qaoa_p4,6,111111011111,0.21349821522080556,0.0836849565091918,0.0600522997884915,False,False
warm_start_xy_qaoa_p4,7,111111101111,5.194638439734731e-05,0.0852143098547604,0.0605770719694452,False,False
warm_start_xy_qaoa_p4,8,111111110111,0.017253164208761957,0.0846623615241569,0.0600776590648171,False,False
warm_start_xy_qaoa_p4,9,111111111011,0.007788556194154108,0.0848356908620562,0.0603003605462355,False,True
warm_start_xy_qaoa_p4,10,111111111101,0.09545235888228742,0.0840670141736464,0.0595664825472062,False,True
warm_start_xy_qaoa_p4,11,111111111110,0.653075051576728,0.0832614239111052,0.0587801873504588,True,True
uniform_feasible,0,011111111111,0.08333333333333333,0.0940745290922824,0.0690121126015381,False,False
uniform_feasible,1,101111111111,0.08333333333333333,0.0925646306997911,0.0674629379621564,False,False
uniform_feasible,2,110111111111,0.08333333333333333,0.0922072907281229,0.0669946905744458,False,False
uniform_feasible,3,111011111111,0.08333333333333333,0.0891852628715516,0.0642622153311685,False,False
uniform_feasible,4,111101111111,0.08333333333333333,0.0881467206672208,0.0632678740837427,False,False
uniform_feasible,5,111110111111,0.08333333333333333,0.0876302659683052,0.062754548122028,False,False
uniform_feasible,6,111111011111,0.08333333333333333,0.0836849565091918,0.0600522997884915,False,False
uniform_feasible,7,111111101111,0.08333333333333333,0.0852143098547604,0.0605770719694452,False,False
uniform_feasible,8,111111110111,0.08333333333333333,0.0846623615241569,0.0600776590648171,False,False
uniform_feasible,9,111111111011,0.08333333333333333,0.0848356908620562,0.0603003605462355,False,True
uniform_feasible,10,111111111101,0.08333333333333333,0.0840670141736464,0.0595664825472062,False,True
uniform_feasible,11,111111111110,0.08333333333333333,0.0832614239111052,0.0587801873504588,True,True
warm_start_xy_qaoa,0,011111111111,0.009361272411425004,0.0940745290922824,0.0690121126015381,False,False
warm_start_xy_qaoa,1,101111111111,0.0108460790036397,0.0925646306997911,0.0674629379621564,False,False
warm_start_xy_qaoa,2,110111111111,0.01126909614271749,0.0922072907281229,0.0669946905744458,False,False
warm_start_xy_qaoa,3,111011111111,0.016815506878683294,0.0891852628715516,0.0642622153311685,False,False
warm_start_xy_qaoa,4,111101111111,0.020238698507137883,0.0881467206672208,0.0632678740837427,False,False
warm_start_xy_qaoa,5,111110111111,0.02251833503824566,0.0876302659683052,0.062754548122028,False,False
warm_start_xy_qaoa,6,111111011111,0.16137819116460164,0.0836849565091918,0.0600522997884915,False,False
warm_start_xy_qaoa,7,111111101111,0.047598831167013876,0.0852143098547604,0.0605770719694452,False,False
warm_start_xy_qaoa,8,111111110111,0.0638442553594712,0.0846623615241569,0.0600776590648171,False,False
warm_start_xy_qaoa,9,111111111011,0.05766391302888558,0.0848356908620562,0.0603003605462355,False,True
warm_start_xy_qaoa,10,111111111101,0.1010409283155034,0.0840670141736464,0.0595664825472062,False,True
warm_start_xy_qaoa,11,111111111110,0.47742489298267526,0.0832614239111052,0.0587801873504588,True,True
