method,states_in_support,feasible_support_probability,expected_selected_worst_error,expected_nominal_error,probability_best_one_coast,probability_best_state,probability_pareto_frontier,top_schedule,top_schedule_probability,top_schedule_selected_worst_error,best_one_coast_schedule,best_schedule,best_one_coast_selected_worst_error,best_selected_worst_error,top3_schedules,mixer_topology,warm_start_mode,depth,restarts,restart_grid,best_restart_count,best_seed,restart_grid_size,restart_grid_expected_selected_worst_error_min,restart_grid_expected_selected_worst_error_median,restart_grid_expected_selected_worst_error_max,restart_grid_expected_selected_worst_error_spread,restart_grid_probability_best_one_coast_min,restart_grid_probability_best_one_coast_median,restart_grid_probability_best_one_coast_max,angles,initial_state,notes,expected_normalized_cost
uniform_feasible,12,1.0,0.0874612047385159,0.06275903666181115,0.08333333333333333,0.08333333333333333,0.25,011111111111,0.08333333333333333,0.0940745290922824,111111111110,111111111110,0.0832614239111052,0.0832614239111052,011111111111:0.083; 101111111111:0.083; 110111111111:0.083,none,uniform,0,0,[],0,0,0,,,,,,,,[],uniform,feasible-subspace baseline with no mixer dynamics,
warm_start_only_inverse,12,1.0,0.0842841487476258,0.059875983079977976,0.47742489298267526,0.47742489298267526,0.6361297343270642,111111111110,0.47742489298267526,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.477; 111111011111:0.161; 111111111101:0.101,none,inverse,0,0,[],0,0,0,,,,,,,,[],inverse,feasible-subspace baseline with inverse warm-start only,
warm_start_only_exponential,12,1.0,0.08502980427472878,0.06056673887097758,0.1801024427990699,0.1801024427990699,0.44050070690769255,111111111110,0.1801024427990699,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.180; 111111011111:0.160; 111111111101:0.144,none,exponential,0,0,[],0,0,0,,,,,,,,[],exponential,feasible-subspace baseline with exponential warm-start only,
uniform_match_complete_p4_r8,12,1.0,0.083729724000715,0.05947358586099662,0.4498482856960486,0.4498482856960486,0.6431008634350095,111111111110,0.4498482856960486,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.450; 111111011111:0.287; 111111111101:0.166,complete,uniform,4,8,[8],8,20269618,1,0.083729724000715,0.083729724000715,0.083729724000715,0.0,0.4498482856960486,0.4498482856960486,0.4498482856960486,"[2.066738081746345, 4.050998463931211, 4.765200247713123, 4.590354120769191, 1.4002240925970104, 1.4468264039980818, 2.0167531848422313, 3.079880798662065]",uniform,matched uniform feasible-subspace comparator,0.043308566943839576
structured_inverse_complete_p4_r8,12,1.0,0.08353137638550197,0.059221859465703935,0.6530736335387194,0.6530736335387194,0.7563153226469529,111111111110,0.6530736335387194,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.653; 111111011111:0.213; 111111111101:0.095,complete,inverse,4,8,"[1, 4, 8]",8,20262666,3,0.08353137638550197,0.08353137752244011,0.08367991640628493,0.00014854002078296125,0.5555942605711792,0.6530255019878048,0.6530736335387194,"[2.7174027337783535, 4.7323591661847155, 5.2354119469173686, 4.45930794436009, 2.556905093935029, 2.0360857086864805, 2.0501633908299, 2.047949640358468]",inverse,feasible-subspace structured QAOA,0.02496530551341314
structured_inverse_complete_p3_r4,12,1.0,0.08366369285014066,0.059334550077459344,0.5571202226177925,0.5571202226177925,0.716350301931602,111111111110,0.5571202226177925,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.557; 111111011111:0.199; 111111111101:0.116,complete,inverse,3,4,"[1, 4, 8]",4,20262652,3,0.08366369285014066,0.08366369285065746,0.0842841487476258,0.0006204558974851337,0.4774248929826756,0.5571180994157081,0.5571202226177925,"[2.229584331167452, 4.297821211981728, 4.454962598916125, 3.0715416660664783, 3.0935914289392223, 3.119489044702602]",inverse,feasible-subspace structured QAOA,0.03720198151181389
structured_exponential_complete_p4_r8,12,1.0,0.08368415135307927,0.05943328686530798,0.4808934282130133,0.4808934282130133,0.6550282900257889,111111111110,0.4808934282130133,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.481; 111111011111:0.290; 111111111101:0.156,complete,exponential,4,8,"[1, 4, 8]",8,20262766,3,0.08368415135307927,0.08368415135310844,0.08368415135310844,2.917110997202599e-14,0.4808934282130133,0.4808942536736025,0.4808942536736025,"[2.4571292140558447, 4.094371460731198, 4.819301889167095, 4.406470651543875, 0.9527529814627195, 0.425591591495407, 2.5466006758696857, 0.4642993614120028]",exponential,feasible-subspace structured QAOA,0.039093991493760014
structured_inverse_complete_p2_r8,12,1.0,0.08371001239726086,0.0593707686927928,0.538261731354996,0.538261731354996,0.7063684275305547,111111111110,0.538261731354996,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.538; 111111011111:0.190; 111111111101:0.115,complete,inverse,2,8,"[1, 4, 8]",8,20262646,3,0.08371001239726086,0.08371001243795391,0.083842883722256,0.00013287132499513465,0.5138545473067614,0.5382515048695282,0.538261731354996,"[2.342221897531219, 4.175201977290254, 2.555653512684783, 1.5364143935786494]",inverse,feasible-subspace structured QAOA,0.04148563050478179
structured_inverse_complete_p1_r8,12,1.0,0.08385715266563783,0.059494602207700156,0.5087789652775052,0.5087789652775052,0.6795438698441463,111111111110,0.5087789652775052,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.509; 111111011111:0.177; 111111111101:0.111,complete,inverse,1,8,"[1, 4, 8]",8,20262636,3,0.08385715266563783,0.083857152665641,0.0842841487476258,0.0004269960819879709,0.4774248929826754,0.5087789558547875,0.5087789652775052,"[2.1522380536907932, 1.5264136158304105]",inverse,feasible-subspace structured QAOA,0.05509321740156731
structured_exponential_complete_p3_r4,12,1.0,0.0839198591327556,0.05962012987084604,0.33639693701881335,0.33639693701881335,0.5971759641619081,111111111110,0.33639693701881335,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.336; 111111011111:0.248; 111111111101:0.180,complete,exponential,3,4,"[1, 4, 8]",4,20262752,3,0.0839198591327556,0.0839198591327591,0.08502980427472878,0.0011099451419731843,0.18010244279906992,0.3363967483758428,0.33639693701881335,"[1.7998145236045853, 3.7520073605376805, 4.259265273999513, 2.5238892001693265, 3.060391929944837, 2.579928414119107]",exponential,feasible-subspace structured QAOA,0.06089233486756141
structured_inverse_cycle_p4_r4,12,1.0,0.08396929162180689,0.059478697349991914,0.6233307049956368,0.6233307049956368,0.7783735154915095,111111111110,0.6233307049956368,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.623; 111111111101:0.154; 111111101111:0.071,cycle,inverse,4,4,"[1, 4, 8]",4,20261662,3,0.08396929162180689,0.08411882878982002,0.0842841487476258,0.00031485712581891256,0.26008598224789614,0.4774248929826771,0.6233307049956368,"[6.283185307179586, 3.5635709392629504, 2.3577571874900096, 2.3577142610511626, 1.03299682781602, 3.141592653589793, 2.3955927239279218, 1.363719640083495]",inverse,feasible-subspace structured QAOA,0.06546386989131511
structured_exponential_cycle_p4_r8,12,1.0,0.08402675201787849,0.059633077088270287,0.5222521287857415,0.5222521287857415,0.751880876809082,111111111110,0.5222521287857415,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.522; 111111011111:0.151; 111111111101:0.117,cycle,exponential,4,8,"[1, 4, 8]",8,20261766,3,0.08402675201787849,0.08440250159536324,0.08502980427472878,0.0010030522568502953,0.18010244279907095,0.42249332042145854,0.5222521287857415,"[2.0921296740512565, 4.380611938373433, 2.774829483271104, 1.0384023343940982, 3.141592653589793, 0.6315977451508004, 1.3817152162528978, 1.6037966655175941]",exponential,feasible-subspace structured QAOA,0.07077782875038653
structured_exponential_complete_p2_r8,12,1.0,0.08404823684389245,0.059720891174226604,0.28344321223825303,0.28344321223825303,0.5688925847747248,111111111110,0.28344321223825303,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.283; 111111011111:0.226; 111111111101:0.180,complete,exponential,2,8,"[1, 4, 8]",8,20262746,3,0.08404823684389245,0.08404823684394802,0.08441177380883731,0.00036353696494485777,0.22050539663985758,0.2834431418574823,0.28344321223825303,"[2.1878359089773545, 3.760977016821805, 2.012909645203768, 0.9944851433143719]",exponential,feasible-subspace structured QAOA,0.07276475347311763
structured_inverse_path_p4_r8,12,1.0,0.08425276668916287,0.06000715752276343,0.4159632417251668,0.4159632417251668,0.535211806225557,111111111110,0.4159632417251668,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.416; 111111011111:0.342; 111111111011:0.081,path,inverse,4,8,"[1, 4, 8]",8,20260666,3,0.08425276668916287,0.0842841487476258,0.0842841487476258,3.138205846292541e-05,0.4159632417251668,0.47742489298267266,0.4774248929826733,"[6.283185307179586, 6.283185307179586, 6.283185307179586, 6.283185307179586, 1.4267412235450359, 1.8959344762588848, 0.6639460255352307, 3.141592653589793]",inverse,feasible-subspace structured QAOA,0.0916797498449689
structured_inverse_cycle_p3_r8,12,1.0,0.08427138191786686,0.05991692758006205,0.2949651972697959,0.2949651972697959,0.6592734510922769,111111111110,0.2949651972697959,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.295; 111111111101:0.226; 111111011111:0.211,cycle,inverse,3,8,"[1, 4, 8]",8,20261656,3,0.08427138191786686,0.0842713819183252,0.0842841487476258,1.2766829758939502e-05,0.29496010181858384,0.2949651972697959,0.47742489298267665,"[1.753435009365767, 5.284154039732163, 2.725024333618029, 3.141592653589793, 0.777014303155716, 2.858416190163957]",inverse,feasible-subspace structured QAOA,0.09340129313823183
structured_inverse_cycle_p1_r1,12,1.0,0.0842841487476258,0.05987598307997799,0.4774248929826758,0.4774248929826758,0.6361297343270648,111111111110,0.4774248929826758,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.477; 111111011111:0.161; 111111111101:0.101,cycle,inverse,1,1,"[1, 4, 8]",1,20261629,3,0.0842841487476258,0.0842841487476258,0.0842841487476258,0.0,0.4774248929826758,0.4774248929826758,0.4774248929826758,"[0.21475127382132672, 0.0]",inverse,feasible-subspace structured QAOA,0.09458197431584188
structured_inverse_cycle_p2_r1,12,1.0,0.0842841487476258,0.059875983079977976,0.4774248929826763,0.4774248929826763,0.6361297343270651,111111111110,0.4774248929826763,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.477; 111111011111:0.161; 111111111101:0.101,cycle,inverse,2,1,"[1, 4, 8]",1,20261639,3,0.0842841487476258,0.0842841487476258,0.0842841487476258,0.0,0.4774248929826763,0.4774248929826763,0.4774248929826763,"[0.19994547833501086, 0.22943783135473556, 0.0, 0.0]",inverse,feasible-subspace structured QAOA,0.09458197431584166
structured_inverse_path_p1_r1,12,1.0,0.0842841487476258,0.05987598307997799,0.47742489298267465,0.47742489298267465,0.6361297343270635,111111111110,0.47742489298267465,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.477; 111111011111:0.161; 111111111101:0.101,path,inverse,1,1,"[1, 4, 8]",1,20260629,3,0.0842841487476258,0.0842841487476258,0.08428414874762581,1.3877787807814457e-17,0.47742489298267465,0.4774248929826747,0.47742489298267476,"[0.2223795945950683, 0.0]",inverse,feasible-subspace structured QAOA,0.09458197431584223
structured_inverse_path_p3_r4,12,1.0,0.0842841487476258,0.05987598307997798,0.47742489298267354,0.47742489298267354,0.6361297343270627,111111111110,0.47742489298267354,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.477; 111111011111:0.161; 111111111101:0.101,path,inverse,3,4,"[1, 4, 8]",4,20260652,3,0.0842841487476258,0.0842841487476258,0.08428414874762581,1.3877787807814457e-17,0.47742489298267327,0.47742489298267354,0.47742489298267377,"[0.29488460606840017, 2.4659725417985485, 1.933337009295409, 0.0, 0.0, 0.0]",inverse,feasible-subspace structured QAOA,0.09458197431584234
structured_inverse_path_p2_r4,12,1.0,0.08428414874762581,0.05987598307997799,0.47742489298267426,0.47742489298267426,0.6361297343270633,111111111110,0.47742489298267426,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.477; 111111011111:0.161; 111111111101:0.101,path,inverse,2,4,"[1, 4, 8]",4,20260642,3,0.08428414874762581,0.08428414874762581,0.08428414874762583,1.3877787807814457e-17,0.47742489298267404,0.47742489298267426,0.4774248929826744,"[2.472581454963876, 1.5115020140610025, 0.0, 0.0]",inverse,feasible-subspace structured QAOA,0.09458197431584213
structured_exponential_cycle_p3_r8,12,1.0,0.08434361726272907,0.0599548027218369,0.31828200675358953,0.31828200675358953,0.6329981604031263,111111111110,0.31828200675358953,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.318; 111111111101:0.197; 111111011111:0.182,cycle,exponential,3,8,"[1, 4, 8]",8,20261756,3,0.08434361726272907,0.084491091916799,0.0850298042747288,0.0006861870119997254,0.18010244279907078,0.31828200675358953,0.3544945003409083,"[1.8012069985767647, 4.675924217273698, 3.171107443268808, 3.141592653589793, 0.6018636046631662, 2.9161006191739087]",exponential,feasible-subspace structured QAOA,0.1000816447719089
structured_exponential_complete_p1_r8,12,1.0,0.08441177380883735,0.060023624488998006,0.2205054009065544,0.2205054009065544,0.5075090905287428,111111111110,0.2205054009065544,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.221; 111111011111:0.190; 111111111101:0.165,complete,exponential,1,8,"[1, 4, 8]",8,20262736,3,0.08441177380883735,0.08441177380883819,0.08502980427472877,0.0006180304658914143,0.18010244279906987,0.2205054009065544,0.22050540306545824,"[2.2977380415836577, 0.4724393699055287]",exponential,feasible-subspace structured QAOA,0.10638478757559919
structured_exponential_cycle_p2_r8,12,1.0,0.08473833523365572,0.06029580035385289,0.3058370849452707,0.3058370849452707,0.4088016578360514,111111111110,0.3058370849452707,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.306; 111111110111:0.246; 111111011111:0.166,cycle,exponential,2,8,"[1, 4, 8]",8,20261746,3,0.08473833523365572,0.08473833523436416,0.08502980427472877,0.00029146904107305027,0.18010244279907042,0.3058349906940477,0.3058370849452707,"[6.283185307179586, 2.9889660802549454, 1.6895381107771772, 1.5637842629719398]",exponential,feasible-subspace structured QAOA,0.13658530993681955
structured_exponential_cycle_p1_r1,12,1.0,0.08502980427472877,0.06056673887097757,0.1801024427990702,0.1801024427990702,0.44050070690769283,111111111110,0.1801024427990702,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.180; 111111011111:0.160; 111111111101:0.144,cycle,exponential,1,1,"[1, 4, 8]",1,20261729,3,0.08502980427472877,0.08502980427472877,0.08502980427472877,0.0,0.1801024427990702,0.1801024427990702,0.1801024427990702,"[0.1994015346817992, 0.0]",exponential,feasible-subspace structured QAOA,0.16354047556125356
structured_exponential_path_p4_r1,12,1.0,0.08502980427472877,0.06056673887097757,0.18010244279906867,0.18010244279906867,0.44050070690768994,111111111110,0.18010244279906867,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.180; 111111011111:0.160; 111111111101:0.144,path,exponential,4,1,"[1, 4, 8]",1,20260759,3,0.08502980427472877,0.08502980427472877,0.08502980427472878,1.3877787807814457e-17,0.18010244279906867,0.18010244279906867,0.18010244279906912,"[0.12397175309733272, 0.1146317697039471, 0.13034535916886072, 0.17908661378018434, 0.0, 0.0, 0.0, 0.0]",exponential,feasible-subspace structured QAOA,0.1635404755612542
structured_exponential_path_p1_r1,12,1.0,0.08502980427472878,0.06056673887097758,0.18010244279906965,0.18010244279906965,0.44050070690769194,111111111110,0.18010244279906965,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.180; 111111011111:0.160; 111111111101:0.144,path,exponential,1,1,"[1, 4, 8]",1,20260729,3,0.08502980427472878,0.08502980427472878,0.08502980427472878,0.0,0.18010244279906965,0.18010244279906976,0.18010244279906978,"[0.1878447071547148, 0.0]",exponential,feasible-subspace structured QAOA,0.16354047556125387
structured_exponential_path_p2_r1,12,1.0,0.08502980427472878,0.06056673887097758,0.1801024427990693,0.1801024427990693,0.4405007069076913,111111111110,0.1801024427990693,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.180; 111111011111:0.160; 111111111101:0.144,path,exponential,2,1,"[1, 4, 8]",1,20260739,3,0.08502980427472878,0.08502980427472878,0.0850298042747288,1.3877787807814457e-17,0.1801024427990693,0.1801024427990696,0.18010244279906965,"[0.08286088964135352, 0.2290887687873473, 0.0, 0.0]",exponential,feasible-subspace structured QAOA,0.163540475561254
structured_exponential_path_p3_r1,12,1.0,0.08502980427472878,0.06056673887097758,0.180102442799069,0.180102442799069,0.44050070690769066,111111111110,0.180102442799069,0.0832614239111052,111111111110,111111111110,0.0832614239111052,0.0832614239111052,111111111110:0.180; 111111011111:0.160; 111111111101:0.144,path,exponential,3,1,"[1, 4, 8]",1,20260749,3,0.08502980427472878,0.08502980427472878,0.08502980427472878,0.0,0.180102442799069,0.18010244279906923,0.18010244279906945,"[0.17208513061881414, 0.19334455610341753, 0.22281136937587387, 0.0, 0.0, 0.0]",exponential,feasible-subspace structured QAOA,0.1635404755612541
